"","First day of week","B.1.617.2","B.1.617.2-CI","B.1.617.2-low","B.1.617.2-high","AY.3","AY.3-CI","AY.3-low","AY.3-high","AY.4","AY.4-CI","AY.4-low","AY.4-high","AY.25","AY.25-CI","AY.25-low","AY.25-high","AY.33","AY.33-CI","AY.33-low","AY.33-high","AY.26","AY.26-CI","AY.26-low","AY.26-high"
"1",2021-07-27,1.55,"7/27: 1.55 (1.27, 1.92)",1.27,1.92,1.48,"7/27: 1.48 (1.23, 1.79)",1.23,1.79,1.87,"7/27: 1.87 (1.43, 2.47)",1.43,2.47,1.46,"7/27: 1.46 (1.22, 1.76)",1.22,1.76,1.48,"7/27: 1.48 (1.25, 1.78)",1.25,1.78,1.76,"7/27: 1.76 (1.27, 2.36)",1.27,2.36
"2",2021-07-28,1.51,"7/28: 1.51 (1.25, 1.85)",1.25,1.85,1.44,"7/28: 1.44 (1.21, 1.71)",1.21,1.71,1.85,"7/28: 1.85 (1.43, 2.43)",1.43,2.43,1.44,"7/28: 1.44 (1.21, 1.72)",1.21,1.72,1.43,"7/28: 1.43 (1.23, 1.71)",1.23,1.71,1.71,"7/28: 1.71 (1.25, 2.26)",1.25,2.26
"3",2021-07-29,1.48,"7/29: 1.48 (1.24, 1.79)",1.24,1.79,1.39,"7/29: 1.39 (1.19, 1.64)",1.19,1.64,1.84,"7/29: 1.84 (1.43, 2.39)",1.43,2.39,1.42,"7/29: 1.42 (1.21, 1.69)",1.21,1.69,1.39,"7/29: 1.39 (1.21, 1.63)",1.21,1.63,1.66,"7/29: 1.66 (1.25, 2.18)",1.25,2.18
"4",2021-07-30,1.45,"7/30: 1.45 (1.23, 1.74)",1.23,1.74,1.36,"7/30: 1.36 (1.17, 1.58)",1.17,1.58,1.82,"7/30: 1.82 (1.42, 2.34)",1.42,2.34,1.41,"7/30: 1.41 (1.21, 1.66)",1.21,1.66,1.35,"7/30: 1.35 (1.19, 1.57)",1.19,1.57,1.65,"7/30: 1.65 (1.26, 2.13)",1.26,2.13
"5",2021-07-31,1.42,"7/31: 1.42 (1.22, 1.69)",1.22,1.69,1.32,"7/31: 1.32 (1.16, 1.52)",1.16,1.52,1.79,"7/31: 1.79 (1.41, 2.3)",1.41,2.3,1.4,"7/31: 1.4 (1.2, 1.64)",1.2,1.64,1.32,"7/31: 1.32 (1.17, 1.51)",1.17,1.51,1.67,"7/31: 1.67 (1.28, 2.13)",1.28,2.13
"6",2021-08-01,1.4,"8/1: 1.4 (1.21, 1.65)",1.21,1.65,1.29,"8/1: 1.29 (1.14, 1.46)",1.14,1.46,1.76,"8/1: 1.76 (1.39, 2.24)",1.39,2.24,1.39,"8/1: 1.39 (1.2, 1.62)",1.2,1.62,1.29,"8/1: 1.29 (1.16, 1.46)",1.16,1.46,1.69,"8/1: 1.69 (1.3, 2.15)",1.3,2.15
"7",2021-08-02,1.38,"8/2: 1.38 (1.2, 1.61)",1.2,1.61,1.26,"8/2: 1.26 (1.13, 1.41)",1.13,1.41,1.72,"8/2: 1.72 (1.37, 2.18)",1.37,2.18,1.38,"8/2: 1.38 (1.19, 1.6)",1.19,1.6,1.26,"8/2: 1.26 (1.14, 1.41)",1.14,1.41,1.72,"8/2: 1.72 (1.32, 2.17)",1.32,2.17
"8",2021-08-03,1.37,"8/3: 1.37 (1.2, 1.58)",1.2,1.58,1.24,"8/3: 1.24 (1.12, 1.37)",1.12,1.37,1.68,"8/3: 1.68 (1.35, 2.11)",1.35,2.11,1.37,"8/3: 1.37 (1.19, 1.58)",1.19,1.58,1.23,"8/3: 1.23 (1.13, 1.37)",1.13,1.37,1.74,"8/3: 1.74 (1.34, 2.2)",1.34,2.2
"9",2021-08-04,1.35,"8/4: 1.35 (1.19, 1.55)",1.19,1.55,1.21,"8/4: 1.21 (1.11, 1.34)",1.11,1.34,1.63,"8/4: 1.63 (1.32, 2.03)",1.32,2.03,1.35,"8/4: 1.35 (1.18, 1.56)",1.18,1.56,1.21,"8/4: 1.21 (1.11, 1.33)",1.11,1.33,1.74,"8/4: 1.74 (1.35, 2.21)",1.35,2.21
"10",2021-08-05,1.34,"8/5: 1.34 (1.18, 1.53)",1.18,1.53,1.2,"8/5: 1.2 (1.1, 1.31)",1.1,1.31,1.57,"8/5: 1.57 (1.29, 1.94)",1.29,1.94,1.34,"8/5: 1.34 (1.17, 1.53)",1.17,1.53,1.19,"8/5: 1.19 (1.11, 1.3)",1.11,1.3,1.74,"8/5: 1.74 (1.34, 2.21)",1.34,2.21
"11",2021-08-06,1.33,"8/6: 1.33 (1.18, 1.51)",1.18,1.51,1.18,"8/6: 1.18 (1.09, 1.28)",1.09,1.28,1.53,"8/6: 1.53 (1.27, 1.86)",1.27,1.86,1.32,"8/6: 1.32 (1.17, 1.51)",1.17,1.51,1.18,"8/6: 1.18 (1.1, 1.28)",1.1,1.28,1.73,"8/6: 1.73 (1.33, 2.18)",1.33,2.18
"12",2021-08-07,1.32,"8/7: 1.32 (1.17, 1.49)",1.17,1.49,1.17,"8/7: 1.17 (1.08, 1.26)",1.08,1.26,1.48,"8/7: 1.48 (1.25, 1.78)",1.25,1.78,1.32,"8/7: 1.32 (1.17, 1.51)",1.17,1.51,1.16,"8/7: 1.16 (1.09, 1.26)",1.09,1.26,1.69,"8/7: 1.69 (1.31, 2.13)",1.31,2.13
"13",2021-08-08,1.3,"8/8: 1.3 (1.17, 1.47)",1.17,1.47,1.15,"8/8: 1.15 (1.08, 1.24)",1.08,1.24,1.43,"8/8: 1.43 (1.22, 1.69)",1.22,1.69,1.34,"8/8: 1.34 (1.18, 1.51)",1.18,1.51,1.15,"8/8: 1.15 (1.08, 1.24)",1.08,1.24,1.63,"8/8: 1.63 (1.28, 2.05)",1.28,2.05
"14",2021-08-09,1.29,"8/9: 1.29 (1.16, 1.45)",1.16,1.45,1.14,"8/9: 1.14 (1.07, 1.22)",1.07,1.22,1.38,"8/9: 1.38 (1.19, 1.61)",1.19,1.61,1.35,"8/9: 1.35 (1.2, 1.53)",1.2,1.53,1.14,"8/9: 1.14 (1.07, 1.22)",1.07,1.22,1.57,"8/9: 1.57 (1.25, 1.95)",1.25,1.95
"15",2021-08-10,1.28,"8/10: 1.28 (1.16, 1.44)",1.16,1.44,1.14,"8/10: 1.14 (1.07, 1.21)",1.07,1.21,1.33,"8/10: 1.33 (1.17, 1.54)",1.17,1.54,1.37,"8/10: 1.37 (1.21, 1.56)",1.21,1.56,1.13,"8/10: 1.13 (1.07, 1.21)",1.07,1.21,1.51,"8/10: 1.51 (1.22, 1.86)",1.22,1.86
"16",2021-08-11,1.28,"8/11: 1.28 (1.15, 1.42)",1.15,1.42,1.13,"8/11: 1.13 (1.07, 1.2)",1.07,1.2,1.29,"8/11: 1.29 (1.15, 1.46)",1.15,1.46,1.4,"8/11: 1.4 (1.22, 1.59)",1.22,1.59,1.13,"8/11: 1.13 (1.07, 1.2)",1.07,1.2,1.45,"8/11: 1.45 (1.19, 1.76)",1.19,1.76
"17",2021-08-12,1.27,"8/12: 1.27 (1.15, 1.41)",1.15,1.41,1.13,"8/12: 1.13 (1.07, 1.2)",1.07,1.2,1.24,"8/12: 1.24 (1.12, 1.4)",1.12,1.4,1.42,"8/12: 1.42 (1.23, 1.63)",1.23,1.63,1.13,"8/12: 1.13 (1.07, 1.2)",1.07,1.2,1.39,"8/12: 1.39 (1.17, 1.66)",1.17,1.66
"18",2021-08-13,1.26,"8/13: 1.26 (1.14, 1.4)",1.14,1.4,1.14,"8/13: 1.14 (1.07, 1.2)",1.07,1.2,1.21,"8/13: 1.21 (1.1, 1.34)",1.1,1.34,1.44,"8/13: 1.44 (1.24, 1.66)",1.24,1.66,1.14,"8/13: 1.14 (1.08, 1.2)",1.08,1.2,1.34,"8/13: 1.34 (1.14, 1.57)",1.14,1.57
"19",2021-08-14,1.25,"8/14: 1.25 (1.14, 1.38)",1.14,1.38,1.14,"8/14: 1.14 (1.08, 1.21)",1.08,1.21,1.17,"8/14: 1.17 (1.08, 1.29)",1.08,1.29,1.46,"8/14: 1.46 (1.24, 1.69)",1.24,1.69,1.14,"8/14: 1.14 (1.08, 1.21)",1.08,1.21,1.3,"8/14: 1.3 (1.13, 1.51)",1.13,1.51
"20",2021-08-15,1.24,"8/15: 1.24 (1.13, 1.37)",1.13,1.37,1.15,"8/15: 1.15 (1.08, 1.22)",1.08,1.22,1.15,"8/15: 1.15 (1.07, 1.25)",1.07,1.25,1.47,"8/15: 1.47 (1.25, 1.72)",1.25,1.72,1.15,"8/15: 1.15 (1.09, 1.22)",1.09,1.22,1.28,"8/15: 1.28 (1.12, 1.47)",1.12,1.47
