"","Date","alpha_Rt","alpha_rtlowci","alpha_rtupci","gamma_Rt","gamma_rtlowci","gamma_rtupci","delta_Rt","delta_rtlowci","delta_rtupci","iota_Rt","iota_rtlowci","iota_rtupci","b1621_Rt","b1621_rtlowci","b1621_rtupci"
"1",2021-04-27,1.17765655155254,1.07366460055098,1.30642169362618,1.27742030252257,1.1180816074211,1.48038498036003,NA,NA,NA,1.16179051087715,1.05855185617294,1.28547595304107,1.1727543336236,1.02040876113472,1.34130326036628
"2",2021-04-28,1.11191645980238,1.03689353834976,1.21552671961144,1.23147290978573,1.09140138442518,1.411111029294,NA,NA,NA,1.09383105438546,1.02176487190509,1.19191643561887,1.10691461329779,0.970784048254174,1.25902861690691
"3",2021-04-29,1.06081569069676,1.010448516803,1.13823782585752,1.19720014312083,1.07491134471348,1.35299109757025,NA,NA,NA,1.03811008874512,0.989148536418135,1.10974152777191,1.05576573226178,0.933190673697304,1.19022999906165
"4",2021-04-30,1.02125120158679,0.987029773477286,1.07462949549207,1.17148925467406,1.06132187552361,1.30740904054002,NA,NA,NA,0.993561743397229,0.957856825126637,1.04225448519041,1.01692071994756,0.903767984206669,1.13870442635928
"5",2021-05-01,0.989255632178615,0.961744450655728,1.02324987652532,1.1502789939535,1.04895653307617,1.27110657825744,NA,NA,NA,0.956382603229233,0.924971525755473,0.991259019336596,0.986409644210588,0.878002546587907,1.10322107904059
"6",2021-05-02,0.963414246344416,0.937717484673553,0.989702788881366,1.13171714790164,1.038531996865,1.2398298983438,NA,NA,NA,0.924967740290915,0.892736183077198,0.959055230701874,0.961091915366913,0.853727084730834,1.07543615958554
"7",2021-05-03,0.942258876098937,0.915219456259898,0.970146822834464,1.11501895146141,1.02872715165029,1.21304366586972,NA,NA,NA,0.898458751812195,0.862184365512038,0.939818684878317,0.940150776185439,0.832070011809163,1.05363299866099
"8",2021-05-04,0.92430050054601,0.893553066939674,0.95815758529592,1.09952184797595,1.01796407267359,1.19060972773658,NA,NA,NA,0.875961703285048,0.83368592332516,0.926359219915555,0.923108656465707,0.814252296710855,1.03772978326527
"9",2021-05-05,0.908704380904726,0.873332225814627,0.948935173862117,1.08450257983823,1.00644941102412,1.16974680690751,NA,NA,NA,0.856230502967503,0.807622944150027,0.914822304660521,0.908587137502953,0.798975371167144,1.02521839492032
"10",2021-05-06,0.894817896921813,0.855244937323258,0.939336871741214,1.06936306710717,0.994585832940606,1.14849465477882,NA,NA,NA,0.838220339924021,0.784258813944028,0.903055400511258,0.895422913599609,0.784648108207984,1.01394839212969
"11",2021-05-07,0.882116068826871,0.838969830016885,0.930589806270469,1.05402510648517,0.98197046199128,1.12948071303011,NA,NA,NA,0.821852356123544,0.763254965629712,0.891942107745725,0.883938839209497,0.771163813934324,1.00487870906704
"12",2021-05-08,0.870306258798561,0.823953627259846,0.922634537195968,1.0383847076957,0.968730183248475,1.11145604320718,NA,NA,NA,0.806571703429145,0.743691435262516,0.881489309384727,0.87379753239284,0.759293642912608,0.996941982325622
"13",2021-05-09,0.859180310676243,0.809775891568645,0.914868155975018,1.02271606922331,0.955436651747094,1.09294942654596,NA,NA,NA,0.791761334087433,0.724831553501969,0.871263547758112,0.864400676836721,0.749369560175378,0.988795808062662
"14",2021-05-10,0.848654200991851,0.796525740697998,0.907051511441513,1.00897228447938,0.943660712055831,1.07695871259435,NA,NA,NA,0.777320712099953,0.707131465272938,0.860814804540832,0.855206780262533,0.739426249741989,0.980988171622293
"15",2021-05-11,0.838684602002205,0.784250463887117,0.899403632771828,0.999337146843612,0.935061890037305,1.06661805824419,NA,NA,NA,0.763314272018231,0.690766474405287,0.850116221503093,0.846142213954198,0.72851169550136,0.974223689268987
"16",2021-05-12,0.829246539630139,0.772453716916802,0.893004931290857,0.994670264160696,0.930296786746024,1.06127166595439,NA,NA,NA,0.74982095696404,0.674175911345428,0.840271717397921,0.838325182494595,0.720091567476244,0.968097201808345
"17",2021-05-13,0.820243516186374,0.761002881610089,0.886872731942523,0.993369858585266,0.928427045346912,1.05981831646385,NA,NA,NA,0.736440105171406,0.657540882926071,0.830498815024937,0.830836360353264,0.711487978381748,0.962503943856384
"18",2021-05-14,0.811525963858494,0.749900782292544,0.880003301730381,0.993983423168855,0.928791002163848,1.06124610718145,NA,NA,NA,0.72280532164844,0.641432203186602,0.819895397068183,0.822839911057238,0.700293281521345,0.957468510800042
"19",2021-05-15,0.802860288083324,0.73912740355557,0.873355528649665,0.997473018667153,0.932633716980055,1.06467255597932,NA,NA,NA,0.709072740253468,0.625638845487908,0.809095947429702,0.815650967525013,0.691008794736237,0.952877325608071
"20",2021-05-16,0.79416839102725,0.728538271143216,0.866940926095383,1.0036985559739,0.939299839281547,1.0704013800858,NA,NA,NA,0.695041680513193,0.609679891305461,0.797999595820773,0.80859425062616,0.682726169828632,0.948435060713248
"21",2021-05-17,0.785461479894613,0.718039204838106,0.860482582631076,1.01142126352622,0.947024387322418,1.07808527060421,NA,NA,NA,0.680649659017551,0.593358719082054,0.7864746531476,0.800870092559618,0.673327665886681,0.944019940885534
"22",2021-05-18,0.776919711729834,0.707863866085249,0.854083785999117,1.01682715117536,0.952139418335235,1.08354204694811,NA,NA,NA,0.666906923589869,0.577695288959958,0.775460293224365,0.793877968865039,0.663470672127309,0.94036142150383
"23",2021-05-19,0.768741178163053,0.698134986932135,0.84787428656132,1.01697672730738,0.952146414276285,1.08345289076862,NA,NA,NA,0.654854084780492,0.563680265588218,0.766039945630948,0.788251288743312,0.654169626273953,0.937258524721635
