"","Date","B.1.617.2_Rt","B.1.617.2_rtlowci","B.1.617.2_rtupci","AY.3_Rt","AY.3_rtlowci","AY.3_rtupci","AY.25_Rt","AY.25_rtlowci","AY.25_rtupci","AY.39_Rt","AY.39_rtlowci","AY.39_rtupci","AY.44_Rt","AY.44_rtlowci","AY.44_rtupci"
"1",2021-07-27,1.52236672247825,1.25671845647486,1.8594209200274,1.50149456720468,1.25399948261536,1.80189577114427,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2021-07-28,1.48255957810576,1.24090450679609,1.79690654681378,1.45204269750811,1.23097046561885,1.72442322131028,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2021-07-29,1.45161695874677,1.22861409975091,1.74151494448644,1.4100052868234,1.21016967953718,1.65219660727189,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2021-07-30,1.42780860455574,1.22114113903407,1.69456889960564,1.37130215531667,1.19095046833881,1.58756123715887,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2021-07-31,1.40918701443318,1.215353433702,1.65584055006019,1.33461321613683,1.1727244121392,1.52782112442256,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2021-08-01,1.3940022513071,1.20870251520588,1.62469893385443,1.30033266058127,1.15533487027849,1.47098630013248,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2021-08-02,1.38109357427701,1.20383686698985,1.59935976981892,1.26977709894645,1.13953248082805,1.42106366360219,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2021-08-03,1.37048317772097,1.2004521487924,1.57854914063932,1.24406477473616,1.12629473255355,1.37926795654018,3.95844662083645,2.02738253645025,7.37606803371204,NA,NA,NA,NA,NA,NA
"9",2021-08-04,1.36196009055773,1.19725538915853,1.56132482012696,1.22359008780387,1.11616047265166,1.34501851916401,3.57930675229465,1.90929710058689,6.55306232237254,NA,NA,NA,NA,NA,NA
"10",2021-08-05,1.35376941184103,1.19356912012036,1.54694441512717,1.20669276207203,1.10810083879922,1.3159306209565,3.22133489975018,1.80116100017695,5.70075785535608,NA,NA,NA,NA,NA,NA
"11",2021-08-06,1.3456205479986,1.1889991087449,1.53368427232965,1.19263558632384,1.10139587817603,1.29216877216147,2.89667359169518,1.70592977970608,4.89275497485954,NA,NA,NA,NA,NA,NA
"12",2021-08-07,1.33762341464486,1.18381009457287,1.52006054611395,1.18079685522119,1.0955660385688,1.27356297653562,2.62372148181173,1.62633982099432,4.21297856303783,NA,NA,NA,NA,NA,NA
"13",2021-08-08,1.32957502857671,1.17986381882598,1.50653363059479,1.17009372944025,1.09046830591167,1.25678339474786,2.41446752168502,1.56422549920016,3.70963531922666,NA,NA,NA,NA,NA,NA
"14",2021-08-09,1.3214143328807,1.17604287899716,1.49361888982271,1.16161318090814,1.08650315715692,1.24287944620095,2.25048812218053,1.51641108009716,3.32311725295403,NA,NA,NA,NA,NA,NA
"15",2021-08-10,1.31312357858325,1.17125030167885,1.48119919863869,1.15672334064481,1.08426203554529,1.23391023377411,2.11986620445109,1.47857298261307,3.02019950737701,NA,NA,NA,NA,NA,NA
"16",2021-08-11,1.30468580196694,1.16724294370002,1.46773570994288,1.15523855591412,1.08425996334137,1.22995203862903,2.01474970073321,1.44690679810594,2.78157853684348,NA,NA,NA,NA,NA,NA
"17",2021-08-12,1.29631816521771,1.16337296974616,1.45376566702308,1.15568103155351,1.08567921050257,1.22868148093421,1.92869767956152,1.41958240516825,2.58994206912335,NA,NA,NA,NA,NA,NA
"18",2021-08-13,1.28797538218044,1.15863825746385,1.44012109200617,1.15718579467827,1.08787702232874,1.22870674547995,1.85671375797554,1.39535850388603,2.43852569544085,NA,NA,NA,NA,NA,NA
"19",2021-08-14,1.27867217568835,1.15363206391011,1.42620678150709,1.16154196893917,1.09182177765952,1.23307214483718,1.79534928426952,1.37324519908952,2.31598448205252,NA,NA,NA,NA,NA,NA
"20",2021-08-15,1.26853574800056,1.14817087055646,1.41102303099956,1.168347944011,1.09704717110443,1.24097721111655,1.74206507362857,1.35286201185164,2.21168708936391,NA,NA,NA,NA,NA,NA
"21",2021-08-16,1.25800704861861,1.14219357774443,1.3942549315533,1.17639208933802,1.10272412247643,1.25057574830324,1.69625249608446,1.33548829080255,2.12419985122406,NA,NA,NA,NA,NA,NA
"22",2021-08-17,1.24736514956585,1.13685149759432,1.37777644236251,1.18480892204999,1.10867745690717,1.26144068139411,1.65643195316572,1.320809506274,2.04900408259845,NA,NA,NA,NA,NA,NA
"23",2021-08-18,1.23692531303156,1.13160682453912,1.3617542821261,1.19485082103722,1.1154393722905,1.27469209169296,1.62123626767676,1.3079576211703,1.9821460706132,NA,NA,NA,1.68763969958321,1.32945926638495,2.12509641581483
"24",2021-08-19,1.22697696068276,1.12592565642815,1.34598345298108,1.20745703127904,1.12328918668416,1.29117702418796,1.59025581727463,1.29573601323155,1.92512002918045,NA,NA,NA,1.63224810099464,1.30676587319727,2.02120693591899
"25",2021-08-20,1.21763557479999,1.1209939257248,1.33102645032803,1.22066582688699,1.13125179945558,1.30946423383096,1.56009859343281,1.28218757727265,1.87205489767083,NA,NA,NA,1.57858003197307,1.28436009774178,1.92519269200901
"26",2021-08-21,1.20901512609444,1.11684946957542,1.31707366094369,1.23373390652303,1.13930321848345,1.32787436437799,1.52758917929481,1.26624424340032,1.8179456526728,1.47145682651614,1.19567208454788,1.78991847944571,1.52543940245647,1.26042627982441,1.83402405183777
