"","Date","alpha_Rt","alpha_rtlowci","alpha_rtupci","gamma_Rt","gamma_rtlowci","gamma_rtupci","delta_Rt","delta_rtlowci","delta_rtupci","iota_Rt","iota_rtlowci","iota_rtupci","b.1.621_Rt","b.1.621_rtlowci","b.1.621_rtupci"
"1",2021-04-27,1.20990609623182,1.0955650575902,1.34308670017191,1.32269823704295,1.15547634991726,1.52922750088724,NA,NA,NA,1.19085788804344,1.07964612498312,1.31010343107053,1.20013606265262,1.04656122452438,1.36668127318434
"2",2021-04-28,1.14689653263633,1.06102495626024,1.25612892937866,1.27868559847863,1.12975007199566,1.46044575159091,NA,NA,NA,1.12558807648851,1.04470766806246,1.22297763218728,1.13696811868627,1.00502430909029,1.28408510712798
"3",2021-04-29,1.0980586889762,1.03619603565323,1.18176022354184,1.2466576791097,1.11522817597935,1.40814782931227,NA,NA,NA,1.07207160984442,1.01563705481118,1.14643904596245,1.09015753980169,0.973567556665476,1.21902657431569
"4",2021-04-30,1.05995006570713,1.01692989024334,1.12052467199641,1.22332154652548,1.10483490861394,1.36637163234502,NA,NA,NA,1.02913661803648,0.989006415798534,1.08247768899376,1.05327046454656,0.947286395199592,1.17109129966008
"5",2021-05-01,1.0295047902989,0.998569042796268,1.07218431934108,1.20425450672407,1.09581529170374,1.33248556265264,NA,NA,NA,0.993083421225846,0.960864965678875,1.03106269504146,1.02463115660808,0.923291684908939,1.13471295623997
"6",2021-05-02,1.00491049051993,0.979933444275799,1.03494983724884,1.1876836772291,1.08654696349328,1.30470606556433,NA,NA,NA,0.962779101465624,0.932849753564221,0.993473844543981,1.00159495328793,0.902021787119527,1.10627201135856
"7",2021-05-03,0.984749091655658,0.96166143113886,1.00810045223671,1.17247966578247,1.07740772386635,1.28042525519424,NA,NA,NA,0.937507697718717,0.907173123439141,0.969727476529383,0.981978915238637,0.884340877013456,1.08356332643749
"8",2021-05-04,0.967727325344639,0.944490340765467,0.99064213107309,1.15762044164525,1.06879036220793,1.25733821973304,NA,NA,NA,0.915814847583383,0.883079630765051,0.954156438688219,0.965980239999326,0.869551872976123,1.06708268682476
"9",2021-05-05,0.952964831366124,0.928541217221503,0.978934310251162,1.14253364699577,1.05931615120981,1.23545737520444,NA,NA,NA,0.896663586647127,0.860267633038559,0.942226159559815,0.952757348446555,0.856803587526232,1.05421414013889
"10",2021-05-06,0.939746428466892,0.91365447170035,0.969302008170561,1.12699330785392,1.04793597734655,1.21468932307843,NA,NA,NA,0.879279043876163,0.838796136390051,0.930820310978749,0.941147892756063,0.845311986286601,1.04227432279563
"11",2021-05-07,0.927617889855662,0.899302418193583,0.960608143498691,1.11146675512013,1.03623900998345,1.19308691318526,NA,NA,NA,0.863292590199124,0.818891275707972,0.91977185403192,0.930449181910086,0.834309691741874,1.03234965969146
"12",2021-05-08,0.916239527603479,0.885383375045071,0.952459018845436,1.09568505503359,1.02478015570814,1.17156518647607,NA,NA,NA,0.848288904682615,0.800502001627455,0.90940711725497,0.920310160822814,0.823312440368984,1.02506526091219
"13",2021-05-09,0.90534386028053,0.871915710046298,0.944591873693585,1.0796359995835,1.01351103557176,1.15139817133177,NA,NA,NA,0.833502424954189,0.782620857797706,0.899224100353056,0.91109920237386,0.812767491731981,1.01684191000915
"14",2021-05-10,0.894899645523578,0.858845424882949,0.937151525550293,1.06527396984942,1.00248346985074,1.13264674369826,NA,NA,NA,0.818990408174612,0.765199256566657,0.889066810674466,0.902511565349516,0.802663951090864,1.00833951335902
"15",2021-05-11,0.884924914441595,0.846238514804398,0.930184946775384,1.05493045349739,0.994424024768811,1.11843687445786,NA,NA,NA,0.804965088780581,0.748419985701181,0.878913164270745,0.894117839968114,0.792900860679122,1.00118219118233
"16",2021-05-12,0.875379635243965,0.834481851273643,0.92318903274655,1.0499929955123,0.991512079178948,1.11131912399205,NA,NA,NA,0.791287538426684,0.732113499502368,0.868686749498977,0.885899777999787,0.783754114705067,0.995208034318786
"17",2021-05-13,0.866138318958275,0.823174534256064,0.916456465714342,1.04819554688634,0.990911919900813,1.10794946876385,NA,NA,NA,0.77772560084159,0.715999766123719,0.858410240487705,0.877867117521316,0.775199988304324,0.989599508429093
"18",2021-05-14,0.857043837524363,0.811828536742535,0.910223505694348,1.04762478583039,0.990467863969977,1.10552733175281,NA,NA,NA,0.764028966134325,0.699741940561837,0.848292868505804,0.869800483115437,0.76607281160159,0.983115924945831
"19",2021-05-15,0.847888177418448,0.800533180413667,0.903505197236027,1.05043980413549,0.994024759388222,1.10771004459126,NA,NA,NA,0.7499562683912,0.68311196690294,0.837600077957424,0.861686106608197,0.756546615673721,0.975960745895916
"20",2021-05-16,0.83851004962469,0.78932666237825,0.895783466408,1.05609746216008,1.00042252965858,1.11373018608097,NA,NA,NA,0.735398242737383,0.666068882680004,0.825805215332753,0.853584958199674,0.747140805800425,0.968840352152955
"21",2021-05-17,0.828992316821768,0.777700260404524,0.888889642220513,1.06264591587957,1.00672016494882,1.12087621323321,NA,NA,NA,0.720759647245806,0.649188907342263,0.814269690025938,0.845576550261454,0.738022751054272,0.962819531549195
"22",2021-05-18,0.819502760358703,0.765889501062389,0.882469884664938,1.06646686088673,1.00979164980862,1.12510194122389,NA,NA,NA,0.706680637333283,0.633086893279291,0.804175854998541,0.837668764426563,0.728865922895749,0.958201138059639
"23",2021-05-19,0.810189105664221,0.754303645131871,0.875688311389575,1.06487514147093,1.00770710823667,1.12353885061251,NA,NA,NA,0.694053271586676,0.61802917542084,0.794609260780233,0.829670271147659,0.718412938460144,0.952734409374461
