"","Date","B.1.617.2_Rt","B.1.617.2_rtlowci","B.1.617.2_rtupci","AY.4_Rt","AY.4_rtlowci","AY.4_rtupci","AY.3_Rt","AY.3_rtlowci","AY.3_rtupci","AY.25_Rt","AY.25_rtlowci","AY.25_rtupci","AY.33_Rt","AY.33_rtlowci","AY.33_rtupci","AY.26_Rt","AY.26_rtlowci","AY.26_rtupci"
"1",2021-07-27,1.50837140862835,1.25057234966519,1.83698178728775,1.83957540351307,1.38970921761032,2.40698439818763,1.48480762182561,1.24750225367175,1.78559252937958,1.63259567423339,1.29255824968744,2.05031425818092,1.49518359783938,1.25524205694148,1.82275959333801,1.89243696168494,1.329436612438,2.60585415322243
"2",2021-07-28,1.46670392908354,1.23402655964052,1.77115708341842,1.81424297927865,1.3841469230626,2.35415670700322,1.43527149229111,1.22289255297589,1.70268257315699,1.60888555794321,1.28538794698915,1.99818597087985,1.44420185043162,1.23076435913839,1.73896781281297,1.83291169416328,1.31256864826925,2.4986011028421
"3",2021-07-29,1.43443425165159,1.22054758364878,1.7112386295737,1.7888496540547,1.3738850059191,2.30066841505806,1.39216687631719,1.20103034060675,1.62847513604987,1.58954824773489,1.28032780860208,1.96003832633417,1.40032306629286,1.20833012961736,1.65968754713954,1.77920571201674,1.29767927771124,2.39885385075651
"4",2021-07-30,1.40872261929125,1.21089530766517,1.6640961100503,1.75610374367044,1.35949924287615,2.24155333571625,1.35265000045674,1.18163189169026,1.56686384846402,1.58467536255424,1.2832578636932,1.94095426700979,1.35964116705733,1.18757418675801,1.58662297435298,1.7549127206724,1.29849179394013,2.32875745387931
"5",2021-07-31,1.38851066045096,1.2035863640574,1.62341140051143,1.71605547693256,1.34084027687482,2.17572702596658,1.31575710416877,1.1642059234913,1.50322473640297,1.58704010267781,1.28949647159355,1.93482782941117,1.32201102382056,1.16794816952161,1.5224072578771,1.74999405027038,1.31268974413422,2.28603149451258
"6",2021-08-01,1.37156669792105,1.19636721030075,1.59073043163202,1.67366236043293,1.32222505621395,2.10212500542999,1.28139883626249,1.14614328135328,1.44842462262198,1.59206473438465,1.29418101868937,1.93698223070242,1.28656162656812,1.14925860286655,1.46255504866006,1.75066522519706,1.32591881756073,2.26764276258928
"7",2021-08-02,1.35725365275265,1.19096871325545,1.56321465396027,1.62935122643954,1.30148338652015,2.02552928049111,1.25009313306485,1.12878426070576,1.39722491182318,1.59662395161148,1.29626585373477,1.93876853939815,1.25472080465084,1.1325939608322,1.40938326974379,1.7546263061189,1.3338270522342,2.26057589085245
"8",2021-08-03,1.34533247406471,1.18703289371393,1.53972068499757,1.58180820491898,1.27813517532413,1.94691901382212,1.22358079704912,1.11479395770653,1.35314234447917,1.59721052570295,1.29552634849367,1.9390017491688,1.22783886136868,1.11863625566253,1.36408357302817,1.75728236451865,1.33791153668805,2.25590017873224
"9",2021-08-04,1.33536426735704,1.1834978011372,1.5200283603698,1.53111738992355,1.25375921549842,1.86643433050022,1.20270368053416,1.10527293011531,1.31959824986595,1.59189455833648,1.29190882953593,1.93716966828957,1.20621629673087,1.10748382834258,1.3265707210619,1.7547980410557,1.34002699120793,2.24761871859792
"10",2021-08-05,1.32635514918322,1.17940529942435,1.5032708903715,1.4830073558713,1.23303130343067,1.78711990082189,1.18461779450349,1.09643368596742,1.28814925509063,1.58260169332692,1.28559363364708,1.92592688294279,1.18764792353925,1.09792526825475,1.29542528036219,1.74757682062898,1.33867477675247,2.23129386362511
"11",2021-08-06,1.31748649120296,1.17374460871662,1.48765560242404,1.44092343501937,1.21564383822341,1.712823871058,1.16921475324561,1.08840423918849,1.26275900828761,1.56623161287226,1.27658924957434,1.9017704785799,1.17193375798088,1.08935747280011,1.26931151558053,1.72596314177034,1.32798978262101,2.19750115701543
"12",2021-08-07,1.30886273619706,1.16999014382776,1.47339906341332,1.39954742740421,1.19573228896226,1.64222061136235,1.15621679225368,1.08110685901742,1.24177711740207,1.55064796235573,1.26907859680769,1.87903908153108,1.15852492069624,1.08160954201812,1.24745401355248,1.69328902842511,1.31342661980088,2.14857394553611
"13",2021-08-08,1.30066278158157,1.16609007611725,1.46017001782053,1.35738705187869,1.17451563312085,1.573700071739,1.14424711651134,1.07429258432264,1.22373664100258,1.53693054721763,1.26390796277954,1.85678541335989,1.14634344389797,1.07485417220446,1.22777297264637,1.65761158470219,1.29789310852812,2.08888470362758
"14",2021-08-09,1.29260443138212,1.16145011075306,1.4472144577484,1.31563680858855,1.15278427698767,1.50735339124926,1.1345707443344,1.0689051056254,1.20884619071747,1.52403450446007,1.25962657531903,1.83367064571642,1.13647907093095,1.069792590112,1.21154862905231,1.62096952961115,1.28191826522841,2.02404618269082
"15",2021-08-10,1.2844807265694,1.15674535816951,1.43421708771908,1.275318189752,1.13110232935589,1.44354542354134,1.12871565977713,1.06609676869692,1.19769458402802,1.51155719829459,1.25487748287796,1.8107486514397,1.13033261445497,1.06703715400318,1.20064778786265,1.58373287145853,1.26582859957577,1.9589790949816
"16",2021-08-11,1.27655296767304,1.15324791980282,1.42186971625059,1.23593481589733,1.1108920436976,1.38236272833465,1.12610548937591,1.06595716474,1.19118434669099,1.50033520090928,1.24978871395707,1.79132730246516,1.12780855470015,1.06636607747493,1.19484519623658,1.54668900008799,1.25038564178646,1.89532149585782
